Order,Chart,Row,Artist,Album,Date Finished,Primary Genre,Specific Genre,Average Rating,Ratings by Listen,,,,,,,,,,,,,,,
183,2,4,Phantogram,Voices,1/1/2017,Electronic,,N/A,,,,,,,,,,,,,,,,
184,2,4,Phantogram,Nightlife,1/1/2017,Electronic,,N/A,,,,,,,,,,,,,,,,
185,2,4,Phantogram,Eyelid Movies,1/1/2017,Electronic,,N/A,,,,,,,,,,,,,,,,
186,2,4,Joy Division,Closer,1/1/2017,Rock,Post-Punk Rock,7,7,,,,,,,,,,,,,,,
187,2,4,Ben Gibbard,Former Lives,1/1/2017,Indie,,N/A,,,,,,,,,,,,,,,,
188,2,4,Blur,13,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
189,2,4,Arcade Fire,The Suburbs,1/1/2017,Indie,Indie Rock,N/A,,,,,,,,,,,,,,,,
190,2,4,Talking Heads,Remain in Light,1/1/2017,Rock,New Wave,N/A,,,,,,,,,,,,,,,,
191,2,4,The Oh Hellos,Dear Wormwood,1/1/2017,Indie,Indie Folk,N/A,,,,,,,,,,,,,,,,
192,2,4,The Oh Hellos,"Through the Deep, Dark Valley",1/1/2017,Indie,Indie Folk,N/A,,,,,,,,,,,,,,,,
193,2,5,Randy Newman,Songbooks Volume I,1/1/2017,Rock,R&B Rock,N/A,,,,,,,,,,,,,,,,
194,2,5,Spoon,Hot Thoughts,1/1/2017,Rock,Art Rock,N/A,,,,,,,,,,,,,,,,
195,2,5,Spoon,They Want My Soul,1/1/2017,Rock,Art Rock,N/A,,,,,,,,,,,,,,,,
196,2,5,Spoon,Transference,1/1/2017,Rock,Art Rock,N/A,,,,,,,,,,,,,,,,
197,2,5,Spoon,Kill The Moonlight,1/1/2017,Rock,Art Rock,N/A,,,,,,,,,,,,,,,,
198,2,5,Outkast,Aquemini,1/1/2017,Rap,,N/A,,,,,,,,,,,,,,,,
199,2,5,Outkast,Southernplayalisticadillacmuzik,1/1/2017,Rap,,N/A,,,,,,,,,,,,,,,,
200,2,5,The Roots,The Tipping Point,1/1/2017,Rap,,N/A,,,,,,,,,,,,,,,,
201,2,5,Gorillaz,The Fall,1/1/2017,,,N/A,,,,,,,,,,,,,,,,
202,2,5,Vulfpeck,The Beautiful Game,1/1/2017,R&B,,N/A,,,,,,,,,,,,,,,,
203,2,5,Vulfpeck,Thrill of the Arts,1/1/2017,R&B,,N/A,,,,,,,,,,,,,,,,
204,2,5,Vulfpeck,Fugue State,1/1/2017,R&B,,N/A,,,,,,,,,,,,,,,,
205,2,6,Vulfpeck,My First Car,1/1/2017,R&B,,N/A,,,,,,,,,,,,,,,,
206,2,6,Vulfpeck,Vollmilch,1/1/2017,R&B,,N/A,,,,,,,,,,,,,,,,
207,2,6,Vulfpeck,Mit Peck,1/1/2017,R&B,,N/A,,,,,,,,,,,,,,,,
208,2,6,Meg and Dia,"Here, Here, and Here",1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
209,2,6,Smashing Pumpkins,Siamese Dreams,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
210,2,6,Grouplove,Little Mess EP,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
211,2,6,The Cure,Wish,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
212,2,6,The Cure,Disintegration,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
213,2,6,The Cure,The Head on the Door,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
214,2,6,The Cure,Three Imaginary Boys,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
215,2,6,Deltron 3030,Deltron 3030,1/1/2017,Rap,,N/A,,,,,,,,,,,,,,,,
216,2,6,Slint,Spinderland,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
217,2,7,Fleetwood Mac,Rumors,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
218,2,7,Owen,At Home With Owen,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
219,2,7,The Front Bottoms,The Front Bottoms,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
220,2,7,Mattafix,Rhythm and Hymns,1/1/2017,Pop,,N/A,,,,,,,,,,,,,,,,
221,2,7,Mattafix,Signs of a Struggle,1/1/2017,Pop,,N/A,,,,,,,,,,,,,,,,
222,2,7,Smallpools,Lovetap!,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
223,2,7,Hozier,Hozier,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
224,2,7,The Joy Formidable,Sleep Is Day,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
225,2,7,The Joy Formidable,Hitch,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
226,2,7,The Joy Formidable,Wolf's Law,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
227,2,7,The Joy Formidable,The Big Roar,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
228,2,7,The Joy Formidable,A Balloon Called Moaning,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
229,2,8,Mom Jeans,Best Buds,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
230,2,8,Tiny Moving Parts,Celebrate,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
231,2,8,Cigarettes After Sex,Affection,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
232,2,8,Cigarettes After Sex,K.,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
233,2,8,Cigarettes After Sex,Apocolypse,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
234,2,8,Rainbow Kitten Surprise,RKS,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
235,2,8,Rainbow Kitten Surprise,Seven + Mary,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
236,2,8,Grizzly Bear,Shields,1/1/2017,Rock,,N/A,,,,,,,,,,,,,,,,
